film_title,category_name,customer_name,store_location,rental_date,customer_total_for_film
SUN CONFESSIONS,Sci-Fi,PAMELA BAKER,"Lethbridge, Canada",2005-05-25 03:21:20,0.99
WAIT CIDER,Animation,BILLY POULIN,"Lethbridge, Canada",2005-05-25 03:36:50,3.99
THIEF PELICAN,Animation,CONSTANCE REID,"Woodridge, Australia",2005-05-25 03:42:37,4.99
CHAINSAW UPTOWN,Sci-Fi,MARIE TURNER,"Lethbridge, Canada",2005-05-25 03:47:12,0.99
SONG HEDWIG,Music,RAY HOULE,"Lethbridge, Canada",2005-05-25 04:01:32,2.99
WITCHES PANIC,Drama,FRED WHEAT,"Woodridge, Australia",2005-05-25 04:05:17,4.99
STALLION SUNDANCE,Sci-Fi,JOY GEORGE,"Woodridge, Australia",2005-05-25 04:06:21,0.99
MICROCOSMOS PARADISE,Children,FREDDIE DUGGAN,"Lethbridge, Canada",2005-05-25 04:19:28,2.99
ESCAPE METROPOLIS,Travel,BONNIE HUGHES,"Woodridge, Australia",2005-05-25 04:36:26,2.99
BORROWERS BEDAZZLED,Animation,JAVIER ELROD,"Lethbridge, Canada",2005-05-25 04:44:31,0.99
MANCHURIAN CURTAIN,Family,MICHAEL SILVERMAN,"Lethbridge, Canada",2005-05-25 04:47:44,4.99
WIND PHANTOM,Games,GERTRUDE CASTILLO,"Lethbridge, Canada",2005-05-25 04:51:46,0.99
MINDS TRUMAN,Action,MARVIN YEE,"Woodridge, Australia",2005-05-25 05:09:04,4.99
BOILED DARES,Travel,HARVEY GUAJARDO,"Lethbridge, Canada",2005-05-25 05:24:58,4.99
MASSAGE IMAGE,Animation,NEIL RENNER,"Woodridge, Australia",2005-05-25 05:39:25,2.99
PIRATES ROXANNE,Sports,GERTRUDE CASTILLO,"Lethbridge, Canada",2005-05-25 05:53:23,0.99
HARRY IDAHO,Drama,TROY QUIGLEY,"Lethbridge, Canada",2005-05-25 05:59:39,7.99
RIDGEMONT SUBMARINE,New,MARIA MILLER,"Lethbridge, Canada",2005-05-25 06:04:08,5.99
GUN BONNIE,Games,JENNY CASTRO,"Woodridge, Australia",2005-05-25 06:20:46,1.99
HOPE TOOTSIE,Classics,CAROL GARCIA,"Woodridge, Australia",2005-05-25 06:44:53,2.99
ELF MURDER,Music,MABEL HOLLAND,"Woodridge, Australia",2005-05-25 06:49:10,4.99
MUSKETEERS WAIT,Classics,TONI HOLT,"Lethbridge, Canada",2005-05-25 07:23:25,4.99
DREAM PICKUP,Action,MONICA HICKS,"Woodridge, Australia",2005-05-25 08:26:13,2.99
EYES DRIVING,Sci-Fi,CHESTER BENNER,"Lethbridge, Canada",2005-05-25 08:28:11,2.99
SUBMARINE BED,Comedy,JENNIFER DAVIS,"Woodridge, Australia",2005-05-25 08:43:32,4.99
PELICAN COMFORTS,Documentary,MATTHEW MAHAN,"Woodridge, Australia",2005-05-25 08:53:14,4.99
OCTOBER SUBMARINE,Classics,MANUEL MURRELL,"Lethbridge, Canada",2005-05-25 08:56:42,5.99
BINGO TALENTED,Sci-Fi,GORDON ALLARD,"Lethbridge, Canada",2005-05-25 08:58:25,2.99
TRUMAN CRAZY,Action,JO FOWLER,"Woodridge, Australia",2005-05-25 09:01:57,5.99
BEACH HEARTBREAKERS,Documentary,CHAD CARBONE,"Lethbridge, Canada",2005-05-25 09:18:52,2.99
SWEETHEARTS SUSPECTS,Children,MARTIN BALES,"Lethbridge, Canada",2005-05-25 09:19:16,0.99
ALLEY EVOLUTION,Foreign,HARRY ARCE,"Lethbridge, Canada",2005-05-25 09:21:29,5.99
SECRET GROUNDHOG,Documentary,ARTHUR SIMPKINS,"Lethbridge, Canada",2005-05-25 09:32:03,4.99
BANGER PINOCCHIO,Music,SHERRY MARSHALL,"Lethbridge, Canada",2005-05-25 09:41:01,0.99
PURPLE MOVIE,Foreign,RICHARD MCCRARY,"Lethbridge, Canada",2005-05-25 10:10:14,2.99
INVASION CYCLONE,Children,BEVERLY BROOKS,"Woodridge, Australia",2005-05-25 10:15:23,2.99
LOATHING LEGALLY,Classics,ROBIN HAYES,"Lethbridge, Canada",2005-05-25 10:26:39,0.99
JUGGLER HARDLY,Animation,ANN EVANS,"Lethbridge, Canada",2005-05-25 10:52:13,0.99
GREEDY ROOTS,Drama,JENNIE TERRY,"Woodridge, Australia",2005-05-25 11:09:48,0.99
ROSES TREASURE,Sports,BEN EASTER,"Woodridge, Australia",2005-05-25 11:13:34,17.98
PATIENT SISTER,Classics,MARY SMITH,"Lethbridge, Canada",2005-05-25 11:30:37,3.9800000000000004
ENTRAPMENT SATISFACTION,Action,JIM REA,"Lethbridge, Canada",2005-05-25 11:31:59,0.99
THIEF PELICAN,Animation,JUANITA MASON,"Woodridge, Australia",2005-05-25 11:35:18,5.99
RESERVOIR ADAPTATION,Foreign,COURTNEY DAY,"Lethbridge, Canada",2005-05-25 12:11:07,4.99
MADIGAN DORADO,Travel,GEORGE LINTON,"Lethbridge, Canada",2005-05-25 12:12:07,5.99
METROPOLIS COMA,Sci-Fi,VELMA LUCAS,"Lethbridge, Canada",2005-05-25 12:15:19,6.99
FARGO GANDHI,Children,JESUS MCCARTNEY,"Woodridge, Australia",2005-05-25 12:17:46,6.99
BUCKET BROTHERHOOD,Travel,MONICA HICKS,"Woodridge, Australia",2005-05-25 12:30:15,4.99
HANKY OCTOBER,Sci-Fi,LESTER KRAUS,"Woodridge, Australia",2005-05-25 12:36:30,2.99
BUCKET BROTHERHOOD,Travel,VINCENT RALSTON,"Lethbridge, Canada",2005-05-25 13:05:34,4.99
JUMPING WRATH,Children,NORA HERRERA,"Woodridge, Australia",2005-05-25 13:36:12,1.99
JEEPERS WEDDING,Classics,HEATHER MORRIS,"Lethbridge, Canada",2005-05-25 14:13:54,3.99
ISLAND EXORCIST,Classics,MARC OUTLAW,"Woodridge, Australia",2005-05-25 14:28:29,2.99
PANKY SUBMARINE,Games,DEBORAH WALKER,"Lethbridge, Canada",2005-05-25 14:31:25,7.99
ANTHEM LUKE,Comedy,MARGIE WADE,"Lethbridge, Canada",2005-05-25 14:57:22,6.99
COMFORTS RUSH,Travel,MICHAEL SILVERMAN,"Lethbridge, Canada",2005-05-25 15:38:46,5.99
VOYAGE LEGALLY,Classics,BOBBIE CRAIG,"Lethbridge, Canada",2005-05-25 15:54:16,3.99
ARMAGEDDON LOST,Sci-Fi,BRYAN HARDISON,"Woodridge, Australia",2005-05-25 16:12:52,3.99
RUGRATS SHAKESPEARE,Action,JOYCE EDWARDS,"Woodridge, Australia",2005-05-25 16:32:19,1.99
CANDLES GRAPES,Games,MARIE TURNER,"Lethbridge, Canada",2005-05-25 16:50:20,4.99
CHAMPION FLATLINERS,Animation,TIM CARY,"Lethbridge, Canada",2005-05-25 17:17:04,6.99
BLOOD ARGONAUTS,Family,DOUGLAS GRAF,"Lethbridge, Canada",2005-05-25 17:22:10,3.99
VALLEY PACKER,Comedy,DANIEL CABRAL,"Woodridge, Australia",2005-05-25 17:46:33,0.99
CONFESSIONS MAGUIRE,Drama,TRACY COLE,"Lethbridge, Canada",2005-05-25 17:54:12,4.99
SHOW LORD,Documentary,ALMA AUSTIN,"Lethbridge, Canada",2005-05-25 18:18:19,11.99
NETWORK PEAK,Family,EDWARD BAUGH,"Woodridge, Australia",2005-05-25 18:28:09,6.99
REMEMBER DIARY,Family,GLENDA FRAZIER,"Lethbridge, Canada",2005-05-25 18:30:05,2.99
DISCIPLE MOTHER,Travel,ANGEL BARCLAY,"Lethbridge, Canada",2005-05-25 18:40:20,1.99
TITANS JERK,Sci-Fi,RUTH MARTINEZ,"Lethbridge, Canada",2005-05-25 18:43:49,9.99
SNATCH SLIPPER,Comedy,COLLEEN BURTON,"Lethbridge, Canada",2005-05-25 18:45:19,4.99
OZ LIAISONS,Animation,PHYLLIS FOSTER,"Lethbridge, Canada",2005-05-25 19:07:40,2.99
COAST RAINBOW,Documentary,JON WILES,"Woodridge, Australia",2005-05-25 19:13:25,0.99
WIFE TURN,Documentary,CAROL GARCIA,"Woodridge, Australia",2005-05-25 19:27:51,4.99
VALENTINE VANISHING,Travel,MARIA MILLER,"Lethbridge, Canada",2005-05-25 19:30:46,0.99
CROOKED FROGMEN,Children,JARED ELY,"Lethbridge, Canada",2005-05-25 19:31:18,0.99
FALCON VOLUME,Animation,ALICE STEWART,"Lethbridge, Canada",2005-05-25 19:37:02,4.99
AIRPORT POLLOCK,Horror,BRUCE SCHWARZ,"Woodridge, Australia",2005-05-25 19:37:47,5.99
DISTURBING SCARFACE,Sci-Fi,LEONARD SCHOFIELD,"Lethbridge, Canada",2005-05-25 19:41:29,2.99
OPERATION OPERATION,Comedy,PRISCILLA LOWE,"Woodridge, Australia",2005-05-25 19:46:21,3.99
GUYS FALCON,Sci-Fi,CHRISTINE ROBERTS,"Woodridge, Australia",2005-05-25 20:26:42,4.99
DARN FORRESTER,Action,HARRY ARCE,"Lethbridge, Canada",2005-05-25 20:48:50,5.99
VIDEOTAPE ARSENIC,Games,AMANDA CARTER,"Woodridge, Australia",2005-05-25 21:19:53,12.98
TRADING PINOCCHIO,Sports,SARAH LEWIS,"Woodridge, Australia",2005-05-25 21:20:03,8.99
SUSPECTS QUILLS,Action,GLORIA COOK,"Lethbridge, Canada",2005-05-25 21:21:56,7.98
CONNECTICUT TRAMP,Sci-Fi,TIMOTHY BUNN,"Lethbridge, Canada",2005-05-25 21:42:46,5.99
BORROWERS BEDAZZLED,Animation,TANYA GILBERT,"Lethbridge, Canada",2005-05-25 21:48:30,0.99
KISS GLORY,Foreign,NATHANIEL ADAM,"Lethbridge, Canada",2005-05-25 22:02:30,5.99
MENAGERIE RUSHMORE,Animation,JORDAN ARCHULETA,"Lethbridge, Canada",2005-05-25 22:25:18,2.99
TOURIST PELICAN,Sports,KIRK STCLAIR,"Lethbridge, Canada",2005-05-25 22:48:22,4.99
BINGO TALENTED,Sci-Fi,MARSHA DOUGLAS,"Woodridge, Australia",2005-05-25 23:00:21,2.99
CHICKEN HELLFIGHTERS,Documentary,JUSTIN NGO,"Woodridge, Australia",2005-05-25 23:34:22,0.99
CONGENIALITY QUEST,Sports,JULIA FLORES,"Lethbridge, Canada",2005-05-25 23:34:53,2.99
WATCH TRACY,Animation,GREG ROBINS,"Lethbridge, Canada",2005-05-25 23:43:47,0.99
CRAFT OUTFIELD,Drama,SHERRI RHODES,"Lethbridge, Canada",2005-05-25 23:45:52,0.99
GONE TROUBLE,Drama,KEITH RICO,"Lethbridge, Canada",2005-05-25 23:49:56,2.99
STRANGELOVE DESIRE,Children,KATHRYN COLEMAN,"Lethbridge, Canada",2005-05-25 23:59:03,2.99
FIDELITY DEVIL,Horror,DON BONE,"Lethbridge, Canada",2005-05-26 00:07:11,8.99
UNFORGIVEN ZOOLANDER,Sci-Fi,APRIL BURNS,"Lethbridge, Canada",2005-05-26 00:25:23,0.99
DOOM DANCING,Comedy,RONALD WEINER,"Woodridge, Australia",2005-05-26 00:28:05,3.99
DADDY PITTSBURGH,Comedy,FREDERICK ISBELL,"Woodridge, Australia",2005-05-26 00:28:39,5.99
OUTBREAK DIVINE,Games,BETTY WHITE,"Woodridge, Australia",2005-05-26 00:37:28,0.99
MIDSUMMER GROUNDHOG,Documentary,EVELYN MORGAN,"Woodridge, Australia",2005-05-26 00:41:10,9.99
STORM HAPPINESS,Animation,ROGER QUINTANILLA,"Woodridge, Australia",2005-05-26 00:47:47,0.99
BEHAVIOR RUNAWAY,Horror,CLAYTON BARBEE,"Woodridge, Australia",2005-05-26 01:15:05,7.99
PULP BEVERLY,Horror,WARREN SHERROD,"Woodridge, Australia",2005-05-26 01:19:05,2.99
CRUSADE HONEY,Sports,HENRY BILLINGSLEY,"Lethbridge, Canada",2005-05-26 01:25:21,2.99
LIGHTS DEER,Classics,JUSTIN NGO,"Woodridge, Australia",2005-05-26 01:27:11,1.99
SAGEBRUSH CLUELESS,Documentary,RAFAEL ABNEY,"Lethbridge, Canada",2005-05-26 01:34:28,2.99
HEAVEN FREEDOM,Comedy,KRISTINA CHAMBERS,"Lethbridge, Canada",2005-05-26 01:46:20,2.99
OUTBREAK DIVINE,Games,RENEE LANE,"Lethbridge, Canada",2005-05-26 01:51:48,0.99
EDGE KISSING,Drama,RAMONA HALE,"Woodridge, Australia",2005-05-26 02:02:05,4.99
DOGMA FAMILY,Animation,MEGAN PALMER,"Woodridge, Australia",2005-05-26 02:26:49,4.99
MOTIONS DETAILS,Horror,ANNA HILL,"Woodridge, Australia",2005-05-26 02:28:36,2.99
CREEPERS KANE,Classics,TONY CARRANZA,"Woodridge, Australia",2005-05-26 02:50:31,4.99
MOON BUNCH,Foreign,WESLEY BULL,"Woodridge, Australia",2005-05-26 03:07:43,1.98
GRIT CLOCKWORK,Games,BOBBY BOUDREAU,"Woodridge, Australia",2005-05-26 03:09:30,0.99
WITCHES PANIC,Drama,BRYAN HARDISON,"Woodridge, Australia",2005-05-26 03:14:15,6.99
NOTTING SPEAKEASY,Drama,JUNE CARROLL,"Lethbridge, Canada",2005-05-26 03:17:42,0.99
SHEPHERD MIDSUMMER,Children,JESSIE MILAM,"Lethbridge, Canada",2005-05-26 03:42:10,0.99
SUMMER SCARFACE,Classics,HUGH WALDROP,"Woodridge, Australia",2005-05-26 03:44:10,0.99
CRANES RESERVOIR,Sports,JO FOWLER,"Woodridge, Australia",2005-05-26 03:47:39,3.99
SEATTLE EXPECATIONS,Drama,ALLAN CORNISH,"Lethbridge, Canada",2005-05-26 04:14:29,6.99
FLYING HOOK,Animation,ALMA AUSTIN,"Lethbridge, Canada",2005-05-26 04:21:46,10.98
MASSACRE USUAL,Games,RUTH MARTINEZ,"Lethbridge, Canada",2005-05-26 04:26:06,6.99
LOLA AGENT,Horror,SERGIO STANFIELD,"Lethbridge, Canada",2005-05-26 04:47:06,4.99
NOVOCAINE FLIGHT,Sports,MAXINE SILVA,"Woodridge, Australia",2005-05-26 05:01:18,2.99
HONEY TIES,Sports,ARMANDO GRUBER,"Woodridge, Australia",2005-05-26 05:29:49,0.99
METAL ARMAGEDDON,Documentary,ETHEL WEBB,"Lethbridge, Canada",2005-05-26 05:30:03,3.99
SWEET BROTHERHOOD,Travel,ANDRE RAPP,"Lethbridge, Canada",2005-05-26 05:42:37,8.99
ROAD ROXANNE,Documentary,LYDIA BURKE,"Lethbridge, Canada",2005-05-26 05:47:12,4.99
DEEP CRUSADE,Documentary,STELLA MORENO,"Lethbridge, Canada",2005-05-26 06:01:41,4.99
SUN CONFESSIONS,Sci-Fi,JESSIE MILAM,"Lethbridge, Canada",2005-05-26 06:11:28,1.99
HEDWIG ALTER,Comedy,RANDALL NEUMANN,"Woodridge, Australia",2005-05-26 06:20:37,2.99
STRAIGHT HOURS,Sports,LEAH CURTIS,"Lethbridge, Canada",2005-05-26 06:41:48,1.99
EXPENDABLE STALLION,Documentary,ANGELA HERNANDEZ,"Woodridge, Australia",2005-05-26 06:52:33,1.99
ATLANTIS CAUSE,Family,VIVIAN RUIZ,"Lethbridge, Canada",2005-05-26 06:55:58,2.99
TRUMAN CRAZY,Action,KELLY KNOTT,"Lethbridge, Canada",2005-05-26 06:59:21,5.99
GUNFIGHT MOON,Comedy,TERESA ROGERS,"Lethbridge, Canada",2005-05-26 07:03:49,4.99
STREETCAR INTENTIONS,Horror,KEVIN SCHULER,"Lethbridge, Canada",2005-05-26 07:12:21,4.99
COMFORTS RUSH,Travel,MARCUS HIDALGO,"Woodridge, Australia",2005-05-26 07:13:45,8.99
CHOCOLAT HARRY,Family,SHARON ROBINSON,"Woodridge, Australia",2005-05-26 07:27:36,2.99
HAROLD FRENCH,Drama,CLAUDE HERZOG,"Lethbridge, Canada",2005-05-26 07:30:37,0.99
BETRAYED REAR,Children,GRACE ELLIS,"Woodridge, Australia",2005-05-26 07:59:37,4.99
GRAFFITI LOVE,Sci-Fi,CARL ARTIS,"Lethbridge, Canada",2005-05-26 08:01:54,0.99
AMERICAN CIRCUS,Action,FRANCES PARKER,"Lethbridge, Canada",2005-05-26 08:04:38,14.98
SLACKER LIAISONS,Drama,NAOMI JENNINGS,"Lethbridge, Canada",2005-05-26 08:10:22,4.99
CLOSER BANG,Comedy,CARLOS COUGHLIN,"Lethbridge, Canada",2005-05-26 08:14:01,4.99
HALF OUTFIELD,Family,CLARENCE GAMEZ,"Lethbridge, Canada",2005-05-26 08:14:15,2.99
SWEET BROTHERHOOD,Travel,BEATRICE ARNOLD,"Lethbridge, Canada",2005-05-26 08:33:10,2.99
FORREST SONS,Action,CHRIS BROTHERS,"Woodridge, Australia",2005-05-26 08:44:08,3.99
CHRISTMAS MOONSHINE,Children,SUE PETERS,"Woodridge, Australia",2005-05-26 09:02:47,0.99
FEATHERS METAL,Games,LOIS BUTLER,"Woodridge, Australia",2005-05-26 09:17:43,5.99
KICK SAVANNAH,Travel,CHRISTOPHER GRECO,"Lethbridge, Canada",2005-05-26 09:27:09,6.99
ELIZABETH SHANE,Sports,LONNIE TIRADO,"Woodridge, Australia",2005-05-26 10:06:49,4.99
SHANE DARKNESS,Travel,LESLIE GORDON,"Lethbridge, Canada",2005-05-26 10:14:09,2.99
MOURNING PURPLE,Sci-Fi,LOUISE JENKINS,"Lethbridge, Canada",2005-05-26 10:14:38,0.99
PLUTO OLEANDER,New,LEON BOSTIC,"Lethbridge, Canada",2005-05-26 10:15:23,4.99
CHICAGO NORTH,Games,ALVIN DELOACH,"Woodridge, Australia",2005-05-26 10:27:50,11.98
TRIP NEWTON,Action,BESSIE MORRISON,"Lethbridge, Canada",2005-05-26 10:44:04,4.99
BACKLASH UNDEFEATED,Children,ROBERT BAUGHMAN,"Woodridge, Australia",2005-05-26 10:51:46,5.99
CALIFORNIA BIRDS,Sports,JOHNNIE CHISHOLM,"Woodridge, Australia",2005-05-26 10:54:28,18.98
DOOM DANCING,Comedy,JEAN BELL,"Lethbridge, Canada",2005-05-26 11:31:50,1.98
TEEN APOLLO,Travel,BRUCE SCHWARZ,"Woodridge, Australia",2005-05-26 11:31:59,4.99
OUTBREAK DIVINE,Games,MABEL HOLLAND,"Woodridge, Australia",2005-05-26 11:38:05,0.99
EXCITEMENT EVE,Action,CASEY MENA,"Lethbridge, Canada",2005-05-26 11:47:20,5.99
EMPIRE MALKOVICH,Children,THEODORE CULP,"Woodridge, Australia",2005-05-26 11:53:49,0.99
CALENDAR GUNFIGHT,Foreign,STACEY MONTGOMERY,"Lethbridge, Canada",2005-05-26 12:30:22,4.99
ANNIE IDENTITY,Sci-Fi,JOYCE EDWARDS,"Woodridge, Australia",2005-05-26 12:30:26,3.99
RULES HUMAN,Horror,GLADYS HAMILTON,"Lethbridge, Canada",2005-05-26 12:40:23,7.99
WESTWARD SEABISCUIT,Classics,COURTNEY DAY,"Lethbridge, Canada",2005-05-26 12:49:01,0.99
GRAIL FRANKENSTEIN,Action,LANCE PEMBERTON,"Lethbridge, Canada",2005-05-26 13:06:05,6.99
DIRTY ACE,Games,MARSHA DOUGLAS,"Woodridge, Australia",2005-05-26 13:40:40,2.99
PEAK FOREVER,Sports,VERONICA STONE,"Lethbridge, Canada",2005-05-26 13:46:59,4.99
NETWORK PEAK,Family,MARLENE WELCH,"Lethbridge, Canada",2005-05-26 13:57:07,2.99
TITANIC BOONDOCK,Animation,CRYSTAL FORD,"Lethbridge, Canada",2005-05-26 14:01:05,4.99
LORD ARIZONA,Action,GREG ROBINS,"Lethbridge, Canada",2005-05-26 14:19:09,2.99
BLINDNESS GUN,Sci-Fi,MATHEW BOLIN,"Lethbridge, Canada",2005-05-26 14:30:24,4.99
VOICE PEACH,New,ROSEMARY SCHMIDT,"Lethbridge, Canada",2005-05-26 14:35:40,0.99
EAGLES PANKY,New,BRITTANY RILEY,"Woodridge, Australia",2005-05-26 14:39:53,7.99
RECORDS ZORRO,Sports,GRACE ELLIS,"Woodridge, Australia",2005-05-26 14:52:15,4.99
MASSACRE USUAL,Games,LOUIS LEONE,"Lethbridge, Canada",2005-05-26 15:27:05,4.99
SEABISCUIT PUNK,Sports,BRETT CORNWELL,"Lethbridge, Canada",2005-05-26 15:28:14,2.99
AGENT TRUMAN,Foreign,MAURICE CRAWLEY,"Lethbridge, Canada",2005-05-26 15:32:46,8.99
BREAKING HOME,New,MICHELLE CLARK,"Lethbridge, Canada",2005-05-26 15:42:20,3.99
UPRISING UPTOWN,Action,MARCIA DEAN,"Lethbridge, Canada",2005-05-26 15:46:56,2.99
DROP WATERFRONT,Sports,OSCAR AQUINO,"Woodridge, Australia",2005-05-26 15:47:40,4.99
IDENTITY LOVER,Sci-Fi,VICKIE BREWER,"Woodridge, Australia",2005-05-26 16:00:49,2.99
RESURRECTION SILVERADO,Family,HILDA HOPKINS,"Lethbridge, Canada",2005-05-26 16:08:05,0.99
EARLY HOME,Animation,TRAVIS ESTEP,"Lethbridge, Canada",2005-05-26 16:16:21,4.99
GRAFFITI LOVE,Sci-Fi,TAMMY SANDERS,"Woodridge, Australia",2005-05-26 16:19:08,0.99
LIES TREATMENT,Drama,TINA SIMMONS,"Woodridge, Australia",2005-05-26 16:22:01,5.99
DAY UNFAITHFUL,New,KATHY JAMES,"Lethbridge, Canada",2005-05-26 16:27:11,9.99
GANGS PRIDE,Animation,KATIE ELLIOTT,"Woodridge, Australia",2005-05-26 16:29:36,2.99
CHICKEN HELLFIGHTERS,Documentary,PAUL TROUT,"Woodridge, Australia",2005-05-26 16:48:51,5.99
GRAFFITI LOVE,Sci-Fi,PAULINE HENRY,"Lethbridge, Canada",2005-05-26 17:09:53,6.99
EASY GLADIATOR,Action,JEAN BELL,"Lethbridge, Canada",2005-05-26 17:16:07,7.99
FERRIS MOTHER,Comedy,JANET PHILLIPS,"Lethbridge, Canada",2005-05-26 17:32:11,2.99
ARMY FLINTSTONES,Documentary,KRISTIN JOHNSTON,"Lethbridge, Canada",2005-05-26 17:40:58,3.99
CHILL LUCK,Drama,ERNEST STEPP,"Woodridge, Australia",2005-05-26 18:02:50,3.9800000000000004
HEDWIG ALTER,Comedy,SALLY PIERCE,"Woodridge, Australia",2005-05-26 18:36:58,2.99
EARRING INSTINCT,Family,ANDY VANHORN,"Woodridge, Australia",2005-05-26 18:49:35,0.99
WIZARD COLDBLOODED,Music,JENNY CASTRO,"Woodridge, Australia",2005-05-26 18:56:26,6.99
SEA VIRGIN,Drama,GLENDA FRAZIER,"Lethbridge, Canada",2005-05-26 19:05:05,3.99
MADNESS ATTACKS,Foreign,LAUREN HUDSON,"Woodridge, Australia",2005-05-26 19:41:40,1.99
BIKINI BORROWERS,Animation,BILLY POULIN,"Lethbridge, Canada",2005-05-26 19:44:51,6.99
SHREK LICENSE,Foreign,DONNA THOMPSON,"Lethbridge, Canada",2005-05-26 19:44:54,2.99
SEATTLE EXPECATIONS,Drama,KATHRYN COLEMAN,"Lethbridge, Canada",2005-05-26 19:47:49,8.99
LOUISIANA HARRY,Family,ANDREA HENDERSON,"Lethbridge, Canada",2005-05-26 20:01:09,0.99
MUSCLE BRIGHT,Travel,FREDERICK ISBELL,"Woodridge, Australia",2005-05-26 20:08:33,2.99
BUTTERFLY CHOCOLAT,New,CLIFTON MALCOLM,"Woodridge, Australia",2005-05-26 20:20:47,5.99
UPRISING UPTOWN,Action,ANDRE RAPP,"Lethbridge, Canada",2005-05-26 20:22:12,6.99
MOVIE SHAKESPEARE,Family,FRED WHEAT,"Woodridge, Australia",2005-05-26 20:29:57,4.99
TEEN APOLLO,Travel,ROSE HOWARD,"Woodridge, Australia",2005-05-26 20:33:20,4.99
STONE FIRE,Travel,TIM CARY,"Lethbridge, Canada",2005-05-26 20:35:19,6.99
GANGS PRIDE,Animation,ANN EVANS,"Lethbridge, Canada",2005-05-26 20:48:48,2.99
WANDA CHAMBER,Games,MIGUEL BETANCOURT,"Lethbridge, Canada",2005-05-26 20:55:36,4.99
BAREFOOT MANCHURIAN,Action,FRANCES PARKER,"Lethbridge, Canada",2005-05-26 20:57:00,6.99
SADDLE ANTITRUST,Comedy,NAOMI JENNINGS,"Lethbridge, Canada",2005-05-26 21:06:14,2.99
ORANGE GRAPES,Foreign,JESSE SCHILLING,"Woodridge, Australia",2005-05-26 21:13:46,4.99
GORGEOUS BINGO,Children,CHRISTIAN JUNG,"Lethbridge, Canada",2005-05-26 21:21:28,5.99
MOB DUFFEL,Drama,JEROME KENYON,"Lethbridge, Canada",2005-05-26 21:22:07,3.99
MUSIC BOONDOCK,Family,KURT EMMONS,"Lethbridge, Canada",2005-05-26 21:31:57,0.99
DORADO NOTTING,Music,AARON SELBY,"Woodridge, Australia",2005-05-26 21:48:13,8.99
ARTIST COLDBLOODED,Sports,OLGA JIMENEZ,"Woodridge, Australia",2005-05-26 22:01:39,6.99
CAUSE DATE,Documentary,RODNEY MOELLER,"Woodridge, Australia",2005-05-26 22:41:07,6.99
NETWORK PEAK,Family,VICKI FIELDS,"Lethbridge, Canada",2005-05-26 22:51:37,3.99
HOUSE DYNAMITE,Family,LESLIE GORDON,"Lethbridge, Canada",2005-05-26 22:52:19,2.99
NONE SPIKING,Sci-Fi,TARA RYAN,"Lethbridge, Canada",2005-05-26 23:09:41,0.99
NIGHTMARE CHILL,Games,NELLIE GARRETT,"Lethbridge, Canada",2005-05-26 23:12:55,4.99
STAGECOACH ARMAGEDDON,Action,DORA MEDINA,"Woodridge, Australia",2005-05-26 23:22:55,4.99
MASK PEACH,New,MILDRED BAILEY,"Lethbridge, Canada",2005-05-26 23:37:39,4.99
PATRIOT ROMAN,Action,JANE BENNETT,"Woodridge, Australia",2005-05-26 23:52:13,2.99
